epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.90428,1.56184,4.17479,1.70214,0.00467,0.24828,0.0067,0.00279,1.81752,3.79306,1.90842,0.0874,0.0014,0.0014
2,5.01452,1.54076,4.04931,1.76383,0.00591,0.25579,0.01401,0.00456,1.60156,3.76091,1.7092,0.0738856,0.00288564,0.00288564
3,7.04532,1.27652,3.95113,1.50483,0.00826,0.34144,0.02591,0.01386,1.48764,3.68091,1.50685,0.0603564,0.00435644,0.00435644
4,9.23221,1.24166,3.7952,1.42758,0.00983,0.5429,0.05128,0.03091,1.38792,3.54215,1.3501,0.0468124,0.00581238,0.00581238
5,11.3041,1.27794,3.77084,1.39559,0.00978,0.61776,0.05681,0.03516,1.38278,3.46794,1.33043,0.0332535,0.00725348,0.00725348
6,13.5001,1.21416,3.60855,1.32307,0.93991,0.03957,0.06785,0.04081,1.37843,3.34231,1.35809,0.0196797,0.00867972,0.00867972
7,15.7084,1.33346,3.5948,1.46648,0.60204,0.05792,0.08616,0.04776,1.4472,3.12301,1.44002,0.009703,0.009703,0.009703
8,17.7696,1.18809,3.38947,1.36798,0.28919,0.1406,0.10915,0.06318,1.49882,3.09881,1.55856,0.0096535,0.0096535,0.0096535
9,19.8752,1.21751,3.25517,1.39064,0.1738,0.23466,0.12452,0.07051,1.55752,2.98223,1.64781,0.009604,0.009604,0.009604
10,21.9274,1.24558,3.17414,1.44922,0.07,0.29498,0.12888,0.0746,1.50868,3.35959,1.61715,0.0095545,0.0095545,0.0095545
11,23.9249,1.22197,3.07525,1.46449,0.07,0.29498,0.12888,0.0746,1.50868,3.35959,1.61715,0.009505,0.009505,0.009505
12,25.9572,1.26166,3.00067,1.44652,0.21892,0.24601,0.14385,0.08111,1.55683,2.89206,1.66474,0.0094555,0.0094555,0.0094555
13,27.9982,1.22481,2.97185,1.41576,0.45771,0.22522,0.13972,0.07931,1.60005,2.85071,1.66667,0.009406,0.009406,0.009406
14,30.1437,1.24878,2.90257,1.39223,0.56282,0.20449,0.1476,0.08007,1.66513,2.71985,1.6542,0.0093565,0.0093565,0.0093565
15,32.1835,1.23545,2.84627,1.41633,0.60435,0.17851,0.17642,0.10304,1.55325,2.85486,1.60748,0.009307,0.009307,0.009307
16,34.3325,1.23976,2.89147,1.40345,0.6244,0.17279,0.17458,0.10147,1.60773,2.90683,1.62928,0.0092575,0.0092575,0.0092575
17,36.3846,1.31863,2.88658,1.50282,0.61333,0.13492,0.16128,0.08906,1.66548,3.00242,1.75702,0.009208,0.009208,0.009208
18,38.5852,1.23954,2.70805,1.38839,0.48612,0.24721,0.20979,0.13349,1.56589,3.05242,1.61734,0.0091585,0.0091585,0.0091585
19,40.6481,1.28096,2.69409,1.47178,0.54791,0.22399,0.20106,0.12335,1.62016,2.70887,1.71276,0.009109,0.009109,0.009109
20,42.6514,1.18809,2.54798,1.34165,0.42026,0.25797,0.22776,0.13758,1.63985,2.53958,1.67283,0.0090595,0.0090595,0.0090595
21,44.8533,1.16942,2.60875,1.36486,0.57952,0.22985,0.23653,0.14773,1.56811,2.67383,1.66425,0.00901,0.00901,0.00901
22,46.9152,1.20749,2.56907,1.40046,0.48193,0.23945,0.25211,0.1618,1.52704,2.46007,1.60887,0.0089605,0.0089605,0.0089605
23,49.0389,1.1301,2.53676,1.35136,0.34341,0.30447,0.27621,0.16403,1.66008,2.44634,1.69067,0.008911,0.008911,0.008911
24,51.1185,1.16852,2.40372,1.35278,0.48374,0.29939,0.30671,0.19503,1.53839,2.32725,1.5721,0.0088615,0.0088615,0.0088615
25,53.3273,1.16573,2.4303,1.33069,0.65152,0.23842,0.29945,0.16984,1.64362,2.2322,1.62119,0.008812,0.008812,0.008812
26,55.48,1.12895,2.33079,1.29299,0.51087,0.22753,0.26048,0.15248,1.57564,2.55647,1.64573,0.0087625,0.0087625,0.0087625
27,57.4826,1.18352,2.38334,1.32705,0.51087,0.22753,0.26048,0.15248,1.57564,2.55647,1.64573,0.008713,0.008713,0.008713
28,59.5796,1.13851,2.34074,1.29411,0.21275,0.37747,0.31257,0.18695,1.59982,2.26562,1.64056,0.0086635,0.0086635,0.0086635
29,61.6456,1.19684,2.27501,1.35756,0.22871,0.29828,0.29661,0.17872,1.56505,2.48064,1.60945,0.008614,0.008614,0.008614
